STATE,IDCENSUS,NAME,CONUM,CSA,CBSA,SCHLEV,NCESID,YRDATA,V33,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C24,C35,C38,C39,TLOCREV,T02,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,TOTALEXP,TCURELSC,TCURINST,E13,J13,J12,J14,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,J17,J07,J08,J09,J40,J45,J90,J11,J96,TCUROTH,E11,V60,V65,J10,J97,NONELSEC,V70,V75,V80,J98,TCAPOUT,F12,G15,K09,K10,K11,J99,L12,M12,Q11,I86,Z32,Z33,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61
21,21101401330100,HOWARD COUNTY SCHOOLS,24027,548,12580,03,2400420,17,55626,985502,29160,6246,10130,803,0,363,371,2202,7119,0,135,0,1791,328277,162353,0,13904,30245,7485,6,0,775,37478,16664,4462,0,0,54905,0,628065,615277,0,0,0,0,0,0,0,453,0,6494,0,0,0,792,0,0,27,0,0,5022,984072,885646,639305,591501,47804,0,0,0,0,231504,16387,6825,13894,73058,33298,38311,42630,0,1158,0,0,5943,0,0,0,0,0,14837,14837,0,0,0,0,7668,7668,0,0,0,86268,80807,0,1616,3845,0,0,0,0,4448,42,623660,424729,10290,0,10327,52800,11137,1425,19766,4723,170371,129199,5096,6774,270,12771,9604,456,3296,2906,0,0,0,0,0,0,0,0,0,0
21,21101501430100,KENT COUNTY SCHOOLS,24029,N,N,03,2400450,17,2001,31375,2767,718,523,128,0,39,0,144,0,0,78,0,1137,11066,2634,0,643,3695,0,29,0,82,0,1567,728,0,0,1688,0,17542,17112,0,0,0,0,0,0,0,73,0,182,0,0,0,0,0,0,13,0,0,162,32638,32052,19068,17738,1330,0,0,0,0,11824,1601,1432,532,2039,2899,1982,981,0,94,112,0,152,0,0,0,0,0,1160,1160,0,0,0,0,84,84,0,0,0,457,0,0,385,72,0,0,0,0,45,0,17085,11620,819,982,212,1327,939,109,496,497,6200,4420,250,350,80,400,300,40,160,33,0,0,0,0,0,0,0,0,0,0
21,21101601530100,MONTGOMERY COUNTY SCHOOLS,24031,548,47900,03,2400480,17,159010,3089537,116366,24555,28377,3644,0,1132,3179,1081,38565,0,947,0,14886,862176,361504,0,55179,137614,61682,0,0,2202,49868,40932,1649,0,0,151546,0,2110995,2081378,0,0,0,0,0,0,0,1000,2054,17148,0,0,0,1009,0,192,9,0,0,8205,2901866,2561482,1694301,1573833,120468,0,0,0,0,811217,92383,147191,12488,156034,200168,121804,50071,0,7506,10930,0,12642,0,0,0,0,0,55964,55964,0,0,0,0,3540,3540,0,0,0,292353,270872,0,2735,18746,0,0,0,0,43463,1028,1894901,1101035,68598,99896,6780,115543,99034,78595,29880,21180,574835,388387,23585,34695,4032,40441,34663,27662,9668,11700,0,98003,0,50732,47271,0,0,0,0,0
21,21101701630100,PRINCE GEORGES CO SCHS,24033,548,47900,03,2400510,17,130814,2264929,145542,36774,27853,4612,0,1246,2566,8305,56695,0,47,0,7444,1210795,581671,0,65413,282242,86900,0,0,1969,24049,39916,22398,0,0,106237,0,908592,856585,0,0,0,0,0,0,0,1748,0,12866,0,0,0,433,0,0,1263,0,0,35697,2247080,2035474,1253387,1168637,84750,0,0,0,0,709633,94573,69886,14448,115316,197798,137388,58737,0,7189,5014,0,9284,0,0,0,0,0,72454,72454,0,0,0,0,3075,3075,0,0,0,152749,123507,0,5493,23749,0,0,0,0,54683,1099,1310168,776459,65865,45939,8223,85056,81435,62341,35879,22460,412549,250375,22491,12327,3743,26494,41006,34598,12223,9292,0,42877,0,20900,21977,0,0,0,0,0
21,21101801730100,QUEEN ANNES COUNTY SCHOOLS,24035,548,12580,03,2400540,17,7751,105513,5458,1101,1636,441,0,95,33,628,1095,0,0,0,429,40560,22655,0,2131,5124,498,16,0,76,141,3335,737,0,0,5847,0,59495,57401,0,0,0,0,0,0,0,80,0,1127,0,0,0,14,0,0,28,0,0,845,105967,101304,65460,60693,4767,0,0,0,0,33561,4315,4084,563,5350,9108,7266,1795,0,353,293,0,434,0,0,0,0,0,2283,2283,0,0,0,0,0,0,0,0,0,3863,3680,0,120,63,0,0,0,0,800,0,62462,42760,3170,2628,252,3894,3555,1299,1199,27,19992,14547,1069,875,86,1333,1216,443,410,12,0,0,0,0,0,0,0,0,0,0
21,21101901830100,ST MARYS CO SCHS,24037,548,15680,03,2400600,17,18067,250154,18674,2963,3820,693,0,193,38,1819,3615,0,2568,0,2965,115008,65692,0,5934,17178,853,30,0,239,667,6864,5243,0,0,12308,0,116472,112872,0,0,0,0,0,0,0,12,0,2415,0,0,0,0,0,0,130,0,0,1043,246718,237597,142892,133411,9481,0,0,0,0,88044,10787,12451,1219,15349,25431,16518,3461,0,838,801,0,1189,0,0,0,0,0,6661,6661,0,0,0,0,650,650,0,0,0,6486,6155,0,25,306,0,0,0,0,1964,21,137986,88610,7830,7482,525,11117,9111,1365,2226,2916,48528,30763,2690,3220,501,3536,6196,694,831,98,0,4313,0,1192,3121,0,0,0,0,0
21,21102001930100,SOMERSET CO SCHS,24039,N,41540,03,2400570,17,2958,49383,6400,1619,803,207,0,49,60,1204,1877,0,0,0,581,30051,13253,0,1677,9453,569,0,0,41,51,1869,581,0,0,2557,0,12932,12639,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,182,50836,46661,26510,24609,1901,0,0,0,0,18246,3115,2530,832,3163,3756,3052,1143,0,239,156,0,260,0,0,0,0,0,1905,1905,0,0,0,0,422,220,202,0,0,3751,3087,69,61,534,0,0,0,0,2,0,30399,17566,2209,1443,521,2403,1434,211,712,595,8941,5635,729,758,147,719,458,67,227,200,0,0,0,0,0,0,0,0,0,0
21,21102102030100,TALBOT CO SCHS,24041,548,20660,03,2400630,17,4593,60560,4527,1119,1214,152,0,76,66,606,1192,0,0,0,102,16988,4646,0,938,5934,0,23,0,105,9,1644,398,0,0,3291,0,39045,37538,0,0,0,0,0,0,0,0,0,630,0,0,0,0,0,0,23,0,0,854,59981,57712,36342,33788,2554,0,0,0,0,19429,2084,3431,423,3271,5570,2890,1023,0,159,297,0,281,0,0,0,0,0,1941,1941,0,0,0,0,370,364,6,0,0,1848,716,0,702,430,0,0,0,0,51,0,34912,22647,1412,2633,176,2487,2278,1478,698,21,8936,8449,66,112,9,106,102,61,25,4,0,0,0,0,0,0,0,0,0,0
21,21102202130100,WASHINGTON CO SCHS,24043,548,25180,03,2400660,17,22545,310425,22953,6151,4941,765,0,270,66,774,8081,0,26,0,1879,181683,100367,0,8531,42914,1871,4,0,425,3122,7217,945,0,0,16287,0,105789,101629,0,0,0,0,0,0,0,69,0,3009,0,0,0,0,0,70,222,0,0,790,312993,299918,184561,171588,12973,0,0,0,0,103675,12525,13431,1405,18513,34075,12229,8184,0,771,1078,0,1464,0,0,0,0,0,11682,11682,0,0,0,0,49,49,0,0,0,8194,4873,64,1044,2213,0,0,0,0,4601,231,174492,114303,6797,9502,841,12901,11768,5640,3728,4091,61177,41982,2335,2996,234,4535,4373,1952,1182,1588,0,4321,0,1670,2651,0,0,0,0,0
21,21102302230100,WICOMICO CO SCHOOLS,24045,N,41540,03,2400690,17,14889,223959,18474,5099,3202,546,0,210,178,1933,5785,0,0,0,1521,149955,73230,0,8137,42654,4251,10,0,161,4121,5241,497,0,0,11653,0,55530,53407,0,0,0,0,0,0,0,34,99,1067,0,0,0,34,0,0,142,0,0,747,228579,204075,122288,113396,8892,0,0,0,0,74219,12337,11614,1227,12993,19249,8646,5391,0,935,870,0,957,0,0,0,0,0,7568,7568,0,0,0,0,703,703,0,0,0,22921,17089,1877,289,3666,0,0,0,0,849,31,137366,80481,8460,7875,519,8658,6945,1026,3167,2464,40281,27131,2837,2766,194,2911,2199,209,1017,1017,0,8203,0,3271,4932,0,0,0,0,0
21,21102402330100,WORCESTER CO BOARD OF EDUCATION,24047,N,41540,03,2400720,17,6667,125176,8398,1863,1819,543,0,97,27,982,1784,0,0,0,1283,26137,6538,0,1752,7302,367,0,0,113,0,3016,540,0,0,6509,0,90641,89441,0,0,0,0,0,0,0,67,0,607,0,0,0,0,0,0,1,0,0,525,125197,115671,74995,69840,5155,0,0,0,0,37980,4091,6896,490,7054,9829,6634,1633,0,322,493,0,538,0,0,0,0,0,2696,2696,0,0,0,0,249,24,225,0,0,9134,7749,25,81,1279,0,0,0,0,143,0,74949,48271,3017,4620,268,5037,3743,296,966,957,23008,16635,1003,1448,94,1725,1282,101,338,382,0,0,0,0,0,0,0,0,0,0
21,21200400130100,BALTIMORE CITY SCHOOLS,24510,548,12580,03,2400090,17,82354,1415593,162251,58673,22078,9451,0,1585,570,2873,51062,0,7682,0,8277,959194,395307,0,63805,310527,19958,67,0,689,25545,19413,59475,0,0,64408,0,294148,274581,0,0,0,0,0,0,0,381,0,246,0,0,0,163,0,0,1842,0,0,16935,1446939,1332778,839843,789214,50629,0,0,0,0,443170,61192,52272,51470,81969,82083,55278,45126,0,4060,3042,0,6678,0,0,0,0,0,49765,49765,0,0,0,0,0,0,0,0,0,80213,79607,0,361,245,0,0,0,0,33677,271,747373,461282,36989,27716,16503,60843,27832,4171,16688,15743,252114,170442,11421,9980,19960,19458,2282,2180,8081,8310,0,9979,0,4568,5411,0,0,0,0,0
