Year,NAME,TFEDREV,TSTREV,TLOCREV,other_local,farms,sped,lep,TOTALREV,PPCSTOT,enrollment
2013,FREDERICK CO SCHOOLS,17692273,257568514,237841221,4151265,8800,4357,1593,513102008,13024,39394
2013,GARRETT COUNTY SCHOOLS,3349033,26030696,26023714,50000,1811,481,1,55403443,14140,3918
2013,HARFORD CO SCH,21126346,236130337,219821368,2524106,10018,5292,393,477078051,12856,37109
2013,HOWARD COUNTY SCHOOLS,17057311,275465253,482384818,5455310,8696,4638,2223,774907382,15190,51012
2013,KENT COUNTY SCHOOLS,1985123,11993204,17362758,149000,1043,273,77,31341085,15569,2013
2013,MONTGOMERY COUNTY SCHOOLS,64522375,745714781,1419513701,13174062,43919,17445,20581,2229750857,15376,145009
2013,PRINCE GEORGES CO SCHS,106093300,1021607586,633069100,19768100,66677,14327,15099,1760769986,14888,118264
2013,QUEEN ANNES COUNTY SCHOOLS,4789625,38927647,44860051,1452640,1837,987,129,88577323,11802,7505
2013,ST MARYS CO SCHS,10535371,109082531,85697709,661600,4811,1827,136,205315611,12284,16714
2013,SOMERSET CO SCHS,3400908,26641247,9104448,142000,1720,439,70,39146603,14344,2729
2013,TALBOT CO SCHS,2829857,15624241,34960007,57000,1616,382,203,53414105,12488,4277
2013,WASHINGTON CO SCHS,15695122,175198327,92951603,814324,10161,2250,357,283845052,12951,21916
2013,WICOMICO CO SCHOOLS,14907467,132498433,39173593,1326941,7980,1753,487,186579493,12984,14369
2013,WORCESTER CO BOARD OF EDUCATION,5261921,26055722,72351483,275452,2680,780,138,103669126,16560,6260
2014,ALLEGANY COUNTY PUBLIC SCHOOLS,8538981,84358648,29770045,360476,4510,1290,24,122667674,14692,8349
2014,ANNE ARUNDEL CO SCHS,38303100,390213908,596454600,3015000,22167,7929,3209,1024971608,13424,76351
2014,BALTIMORE CITY SCHOOLS,111289669,983688016,257441740,2360000,67008,14346,3043,1352419425,16874,80146
2014,BALTIMORE COUNTY SCHOOLS,66284334,671892929,712086091,9993630,46796,13725,4092,1450263354,13864,104603
2014,CALVERT CO SCHS,7670186,97550463,113394429,390000,3498,1506,157,218615078,13779,15865
2014,CAROLINE CO SCHS,3487650,51329358,13416327,683000,2961,582,241,68233335,13034,5235
2014,CARROLL CO SCHS,11187255,159268572,168578000,2970089,4562,3162,205,339033827,13060,25959
2014,CECIL COUNTY PUBLIC SCHOOLS,8147675,110989556,72848292,755000,6016,2111,148,191985523,12710,15105
2014,CHARLES CO SCHS,14836625,182946917,159010300,1819080,7911,2518,220,356793842,13973,25534
2014,DORCHESTER CO SCHS,3770829,38999474,18359680,778751,2732,441,99,61129983,13545,4513
2014,FREDERICK CO SCHOOLS,18592273,264125834,233354228,4686265,9375,4291,1629,516072335,13052,39538
2014,GARRETT COUNTY SCHOOLS,3344857,24865490,26201544,50000,1849,438,2,54411891,14371,3786
2014,HARFORD CO SCH,20644629,233763477,221300729,3362772,10296,5195,400,475708835,12832,37072
2014,HOWARD COUNTY SCHOOLS,19696513,280000634,497485719,6228900,9069,4591,2159,797182866,15412,51723
2014,KENT COUNTY SCHOOLS,1728217,11790178,17196312,149000,1002,249,75,30714707,15395,1995
2014,MONTGOMERY COUNTY SCHOOLS,72680788,771180070,1448250594,12174062,45984,17419,21367,2292111452,15536,147532
2014,PRINCE GEORGES CO SCHS,106093300,1048104579,623743913,15047300,69190,14430,16604,1777941792,14864,119608
2014,QUEEN ANNES COUNTY SCHOOLS,5142588,39496218,48131684,1418238,1866,1005,146,92770490,12414,7473
2014,ST MARYS CO SCHS,10524706,108645126,89910979,677300,5073,1742,163,209080811,12367,16906
2014,SOMERSET CO SCHS,3261285,30808779,9480539,142000,1916,441,91,43550603,15964,2728
2014,TALBOT CO SCHS,2656776,16260919,35158266,66000,1635,381,244,54075961,12578,4299
2014,WASHINGTON CO SCHS,14284806,178663922,94453575,814319,10332,2199,354,287402303,13072,21986
2014,WICOMICO CO SCHOOLS,11425147,136773114,40520465,1327222,8022,1760,548,188718726,13100,14405
2014,WORCESTER CO BOARD OF EDUCATION,4439047,26852031,75477677,275452,2728,834,151,106768755,17042,6265
2015,ALLEGANY COUNTY PUBLIC SCHOOLS,8397944,84307216,29418144,322535,4630,1353,16,122123304,14613,8357
2015,ANNE ARUNDEL CO SCHS,36297000,392151075,603483300,3015000,23701,7933,3559,1031931375,13322,77458
2015,BALTIMORE CITY SCHOOLS,100159158,983777835,254684808,6225000,67816,14007,3005,1338621801,16662,80339
2015,BALTIMORE COUNTY SCHOOLS,62083671,681351100,738074687,9534515,48901,13881,4031,1481509458,13957,106148
2015,CALVERT CO SCHS,7863400,96262980,115808239,385000,3705,1461,125,219934619,14067,15634
2015,CAROLINE CO SCHS,4162650,52917797,13437485,683000,2964,587,280,70517932,13322,5293
2015,CARROLL CO SCHS,10872859,155878784,171037000,3020713,4790,3100,201,337788643,13237,25517
2015,CECIL COUNTY PUBLIC SCHOOLS,8609480,114146086,75523845,735000,6175,2205,145,198279411,13273,14938
2015,CHARLES CO SCHS,14277442,183642124,161921600,1719080,8336,2592,272,359841166,14155,25420
2015,DORCHESTER CO SCHS,3413400,41431577,18531907,784000,2899,450,115,63376884,13828,4583
2015,FREDERICK CO SCHOOLS,19331295,265858954,233493582,4886265,9939,4283,1727,518683831,13070,39683
2015,GARRETT COUNTY SCHOOLS,3114324,24154593,26690979,1050000,1763,417,3,53959896,14544,3710
2015,HARFORD CO SCH,20984751,232493817,223667302,3524096,10970,5108,357,477145870,12977,36767
2015,HOWARD COUNTY SCHOOLS,19943712,278966799,530439861,6188470,9700,4774,2096,829350372,15781,52551
2015,KENT COUNTY SCHOOLS,1602972,11814915,17191672,149000,995,261,65,30609559,15537,1970
2015,MONTGOMERY COUNTY SCHOOLS,69855580,778997965,1476855309,12324062,48324,17659,20465,2325708854,15471,150325
2015,PRINCE GEORGES CO SCHS,102884500,1097770804,630218800,18408200,72438,14448,17768,1830874104,15019,121898
2015,QUEEN ANNES COUNTY SCHOOLS,4928837,40344475,51228247,1178513,1898,995,159,96501559,12901,7480
2015,ST MARYS CO SCHS,13409112,110630207,93910979,1288682,5249,1732,189,217950298,12845,16967
2015,SOMERSET CO SCHS,3407075,31131957,9646844,113500,1964,450,86,44185876,16167,2733
2015,TALBOT CO SCHS,3228591,16609352,35338852,66000,1752,386,267,55176795,12620,4372
2015,WASHINGTON CO SCHS,13262167,183606200,94845452,770465,10629,2218,377,291713819,13397,21774
2015,WICOMICO CO SCHOOLS,10015955,140819995,40396119,2165928,8139,1759,602,191232069,13142,14551
2015,WORCESTER CO BOARD OF EDUCATION,4396304,26377883,77675762,225452,2743,823,137,108449949,17285,6274
2016,ALLEGANY COUNTY PUBLIC SCHOOLS,8632836,85218377,29837545,453123,4647,1313,17,123688758,14926,8317
2016,ANNE ARUNDEL CO SCHS,40263100,402347318,620575900,3015000,25218,8159,3887,1063186318,13629,78233
2016,BALTIMORE CITY SCHOOLS,101646398,953776777,258212181,9361948,67299,13627,3460,1313635356,16713,79158
2016,BALTIMORE COUNTY SCHOOLS,72664206,704820205,748849077,10428447,49825,14000,4236,1526333488,14312,107378
2016,CALVERT CO SCHS,7933954,93818536,114876122,385000,3579,1472,131,216628612,13905,15607
2016,CAROLINE CO SCHS,4605665,54547650,13765180,465000,2927,591,323,72918495,13833,5305
2016,CARROLL CO SCHS,11103668,151198839,176202000,3053376,4879,3027,245,338504507,13566,25178
2016,CECIL COUNTY PUBLIC SCHOOLS,8561938,113334394,79750778,460000,6186,2272,171,201647110,13383,15102
2016,CHARLES CO SCHS,15533721,183702887,166121100,1719080,8585,2771,317,365357708,14409,25475
2016,DORCHESTER CO SCHS,3599477,43714098,18963336,807600,2958,489,134,66276911,14858,4515
2016,FREDERICK CO SCHOOLS,19331295,264318492,239238105,4886625,10164,4326,1818,522887892,13369,39478
2016,GARRETT COUNTY SCHOOLS,3161474,23805951,26590600,1050000,1743,420,3,53558025,14831,3682
2016,HARFORD CO SCH,21786206,231200363,228208971,3768597,11199,5059,411,481195540,13236,36640
2016,HOWARD COUNTY SCHOOLS,18823711,285523583,544144625,6563293,10278,4869,2335,848491919,15931,53674
2016,KENT COUNTY SCHOOLS,1632922,11327173,17432020,162989,973,253,53,30392115,15981,1912
2016,MONTGOMERY COUNTY SCHOOLS,71917356,791128749,1507631597,10836959,50670,17764,21894,2370677702,15663,152043
2016,PRINCE GEORGES CO SCHS,102894600,1142666818,669292125,18192600,77483,14361,19226,1914853543,15691,123191
2016,QUEEN ANNES COUNTY SCHOOLS,5025292,40674142,52850293,1124302,1905,931,177,98549727,13358,7462
2016,ST MARYS CO SCHS,14311800,112690291,98015001,756815,5388,1814,227,225017092,13322,16948
2016,SOMERSET CO SCHS,3192528,31589908,9395088,104000,1870,444,92,44177524,16304,2716
2016,TALBOT CO SCHS,3219335,17037890,36216540,66000,1813,443,303,56473765,12847,4401
2016,WASHINGTON CO SCHS,15491352,182671877,94844030,1034094,10756,2216,422,293007259,13535,21724
2016,WICOMICO CO SCHOOLS,12427893,145894822,41306646,2127743,8063,1786,687,199629361,13667,14762
2016,WORCESTER CO BOARD OF EDUCATION,5199008,26335653,78718960,225452,2734,846,135,110253621,17606,6275
2017,ALLEGANY COUNTY PUBLIC SCHOOLS,8646605,87186218,30169985,582649,4639,1349,14,126002808,15415,8212
2017,ANNE ARUNDEL CO SCHS,39735300,417662740,643224500,3169300,25463,8256,4012,1100622540,13947,79141
2017,BALTIMORE CITY SCHOOLS,106841481,943957162,265412181,6441497,67193,13270,3722,1316210824,16942,78071
2017,BALTIMORE COUNTY SCHOOLS,77437507,722812541,757551887,9862611,49641,14125,4356,1557801935,14462,108399
2017,CALVERT CO SCHS,8148399,97631166,114693838,344000,3473,1531,136,220473403,14199,15552
