School District,County,Median List Price (District),Median List Price (County),List Price Premium (vs County),Listing Views (vs County),Days on Market (District),Days on Market (County),Days on Market (vs County %),Median Days on Market (vs County),Avg. School Rating
Upper Saddle River School District,"Bergen, NJ","$1,125,000 ","$609,000 ",185%,84.21%,55,61,90%,-6,9.6
Peters Township School District,"Washington, PA","$400,000 ","$217,000 ",184%,113.89%,69,71,97%,-2,9.7
Rockwood R-Vi School District,"St. Louis, MO","$400,000 ","$217,000 ",184%,117.02%,53,48,110%,5,8.9
Longmeadow School District,"Hampden, MA","$350,000 ","$190,000 ",184%,207.69%,51,61,84%,-10,8.8
Kildeer Countryside Ccsd 96 School District,"Lake, IL","$598,000 ","$325,000 ",184%,85.48%,54,57,95%,-3,9.7
Whitehall District Schools,"Muskegon, MI","$285,000 ","$155,000 ",184%,105.56%,53,52,102%,1,6.3
Argyle Isd School District,"Denton, TX","$650,000 ","$354,000 ",184%,84.93%,61,38,161%,23,9.5
East Greenwich School District,"Kent, RI","$548,000 ","$299,000 ",183%,97.14%,52,53,98%,-1,10
Georgetown 01 School District,"Horry, SC","$366,000 ","$200,000 ",183%,155.56%,103,103,100%,0,8
New Buffalo Area School District,"Berrien, MI","$425,000 ","$232,000 ",183%,113.89%,92,79,116%,13,7.6
Garnet Valley School District,"Delaware, PA","$419,000 ","$230,000 ",182%,114.63%,63,72,88%,-9,9.9
Greenwood 52 School District,"Greenwood, SC","$327,000 ","$180,000 ",182%,63.89%,109,102,106%,7,7
Ocean City School District,"Cape May, NJ","$600,000 ","$330,000 ",182%,107.14%,110,112,98%,-2,6.3
Scottsdale Unified District School District,"Maricopa, AZ","$589,000 ","$324,000 ",182%,88.57%,79,54,146%,25,8.2
Lakota Local School District,"Butler, OH","$290,000 ","$159,000 ",182%,138.89%,46,58,79%,-12,8.7
Redondo Beach Unified School District,"Los Angeles, CA","$999,000 ","$550,000 ",182%,156.41%,32,46,70%,-14,8.7
Upper Saint Clair School District,"Allegheny, PA","$336,000 ","$185,000 ",181%,160.29%,52,65,80%,-13,9.9
Centerville City School District,"Montgomery, OH","$245,000 ","$135,000 ",181%,136.36%,60,61,98%,-1,8.9
Alexandria Central School District,"Jefferson, NY","$299,000 ","$165,000 ",181%,100.00%,70,82,85%,-12,5.5
Oley Valley School District,"Berks, PA","$290,000 ","$160,000 ",181%,150.00%,94,81,116%,13,7.7
Derry Township School District,"Dauphin, PA","$326,000 ","$180,000 ",181%,125.00%,69,73,95%,-4,8.5
Pulaski Community School District,"Brown, WI","$334,000 ","$185,000 ",181%,75.00%,60,48,124%,12,8.4
Fayetteville-Manlius Central School District,"Onondaga, NY","$280,000 ","$155,000 ",181%,104.17%,49,54,91%,-5,9.6
Cape May City School District,"Cape May, NJ","$595,000 ","$330,000 ",180%,153.57%,147,112,131%,35,5.3
Avon School District,"Hartford, CT","$450,000 ","$250,000 ",180%,121.11%,61,62,99%,-1,9.6
Charlotte School District,"Chittenden, VT","$649,000 ","$360,000 ",180%,88.57%,107,74,145%,33,10
Frankfort Ccsd 157C School District,"Will, IL","$415,000 ","$231,000 ",180%,125.53%,68,54,126%,14,9.3
Etiwanda Elementary School District,"San Bernardino, CA","$530,000 ","$295,000 ",180%,208.33%,41,53,77%,-12,8.5
Marblehead School District,"Essex, MA","$807,000 ","$450,000 ",179%,80.16%,53,45,117%,8,8
South Colonie Central School District,"Schenectady, NY","$250,000 ","$140,000 ",179%,116.67%,73,81,90%,-8,7.3
Neshannock Township School District,"Lawrence, PA","$160,000 ","$90,000 ",178%,121.05%,89,97,92%,-8,8.4
Washington Chsd 308 School District,"Tazewell, IL","$240,000 ","$135,000 ",178%,128.21%,62,60,103%,2,8.6
Tamalpais Union High School District,"Marin, CA","$2,088,000 ","$1,175,000 ",178%,121.74%,44,37,119%,7,9.5
Hollis School District,"Hillsborough, NH","$550,000 ","$310,000 ",177%,93.62%,73,53,138%,20,9.2
Culver City Unified School District,"Los Angeles, CA","$975,000 ","$550,000 ",177%,110.26%,29,46,63%,-17,8
Chesterfield Township School District,"Burlington, NJ","$425,000 ","$240,000 ",177%,105.71%,92,74,124%,18,6.3
Elgin School District,"Comanche, OK","$200,000 ","$113,000 ",177%,172.73%,64,75,85%,-11,6.3
Pleasant Grove Isd School District,"Bowie, TX","$229,000 ","$130,000 ",177%,127.59%,71,99,72%,-28,9
New York City Geographic District #26 School District,"Queens, NY","$845,000 ","$479,000 ",176%,142.31%,54,61,89%,-7,5.3
Lyons Twp Hsd 204 School District,"Cook, IL","$469,000 ","$266,000 ",176%,138.71%,56,54,104%,2,8.9
La Grange Sd 102 School District,"Cook, IL","$468,000 ","$266,000 ",176%,151.61%,69,54,128%,15,8.9
Somerset Hills Regional School District,"Somerset, NJ","$1,100,000 ","$625,000 ",176%,93.94%,76,69,110%,7,8.3
New York City Geographic District #14 School District,"Kings, NY","$1,275,000 ","$725,000 ",176%,30.00%,103,90,114%,13,3.7
Triad Cusd 2 School District,"Madison, IL","$220,000 ","$125,000 ",176%,177.50%,74,68,109%,6,9
Harrison Township School District,"Gloucester, NJ","$390,000 ","$222,000 ",175%,135.00%,88,82,107%,6,6.9
Lewis-Palmer Consolidated School District No. 38 In The Co,"El Paso, CO","$525,000 ","$300,000 ",175%,102.27%,45,36,125%,9,8.8
Unionville-Chadds Ford School District,"Chester, PA","$700,000 ","$400,000 ",175%,111.36%,74,66,112%,8,9.9
Wayzata Public School District,"Hennepin, MN","$525,000 ","$300,000 ",175%,91.67%,51,44,116%,7,9.9
Fenton Area Public School District,"Genesee, MI","$267,000 ","$153,000 ",175%,223.15%,37,54,69%,-17,9
Rsu 22/Msad 22 School District,"Penobscot, ME","$233,000 ","$133,000 ",175%,185.00%,78,98,80%,-20,10
Brigantine City School District,"Atlantic, NJ","$349,000 ","$200,000 ",175%,76.19%,123,103,119%,20,4.5
Half Hollow Hills Central School District,"Suffolk, NY","$799,000 ","$458,000 ",174%,81.25%,68,68,100%,0,9
Okemos Public School District,"Ingham, MI","$260,000 ","$149,000 ",174%,133.33%,48,52,92%,-4,9.9
Southold Union Free School District,"Suffolk, NY","$797,000 ","$458,000 ",174%,93.75%,85,68,124%,17,7
Stowe School District,"Lamoille, VT","$435,000 ","$250,000 ",174%,150.00%,127,137,93%,-10,8.5
Northwestern Local School District,"Clark, OH","$170,000 ","$98,000 ",174%,152.94%,62,68,91%,-6,5.5
Highland Local School District,"Medina, OH","$382,000 ","$220,000 ",174%,98.44%,76,55,137%,21,9.9
Bloomfield Hills School District,"Oakland, MI","$634,000 ","$365,000 ",174%,78.67%,37,38,97%,-1,9.6
Sunapee School District,"Sullivan, NH","$329,000 ","$190,000 ",173%,163.16%,71,93,77%,-22,8.3
Apache Junction Unified District School District,"Pinal, AZ","$329,000 ","$190,000 ",173%,95.45%,96,68,141%,28,6
Tewksbury Township School District,"Hunterdon, NJ","$839,000 ","$485,000 ",173%,79.63%,90,80,112%,10,9
Friendswood Isd School District,"Galveston, TX","$465,000 ","$269,000 ",173%,104.35%,47,44,106%,3,9.4
Lake-Lehman School District,"Luzerne, PA","$219,000 ","$127,000 ",172%,188.89%,111,95,117%,16,6
Pittsgrove Township School District,"Salem, NJ","$232,000 ","$135,000 ",172%,175.00%,114,108,105%,6,5
Williamsville Central School District,"Erie, NY","$275,000 ","$160,000 ",172%,138.00%,32,41,78%,-9,9.2
Iroquois Central School District,"Erie, NY","$275,000 ","$160,000 ",172%,122.00%,55,41,133%,14,9
Cape Elizabeth School Department School District,"Cumberland, ME","$600,000 ","$349,000 ",172%,162.50%,52,62,84%,-10,10
