Year,IDCENSUS,NAME,CONUM,CSA,CBSA,NCESID,ENROLL,TOTALREV,TFEDREV,FEDRCOMP,FEDRSPEC,FEDRNUTR,FEDROTHR,TSTREV,STRFORM,STRSPEC,STRTRANS,STROTHR,TLOCREV,LOCRTAX,LOCRPROP,LOCRPAR,LOCRCICO,LOCROSCH,LOCRCHAR,LOCROTHR,TOTALEXP,TCURSPND,TSALWAGE,TEMPBENE,TCURINST,TCURISAL,TCURIBEN,TCURSSVC,TCURSPUP,TCURSSTA,TCURSGEN,TCURSSCH,TCURSOTH,TCURONON,TCAPOUT,TPAYOTH,TINTRST,DEBTOUT,LONGISSU,LONGRET,PCTTOTAL,PCTFTOT,PCTFCOMP,PCTSTOT,PCTSFORM,PCTLTOT,PCTLTAXP,PCTLOTHG,PCTLCHAR,PPCSTOT,PPSALWG,PPEMPBEN,PPITOTAL,PPISALWG,PPIEMBEN,PPSTOTAL,PPSPUPIL,PPSSTAFF,PPSGENAD,PPSSCHAD
2012,21101000930100,DORCHESTER CO SCHS,24019,N,15700,2400300,4647,62375,5826,1752,1174,1690,1210,38169,17312,1254,2300,17303,18380,0,0,16759,0,0,613,1008,64210,59838,34089,14259,35725,22842,9902,21627,2498,4239,450,4641,9799,2486,3492,50,830,24231,0,1688,100,9.3,2.8,61.2,27.8,29.5,26.9,0,1,12856,7336,3068,7688,4915,2131,4654,538,912,97,999
2012,21101101030100,FREDERICK CO SCHOOLS,24021,548,47900,2400330,40413,618540,20512,3401,7726,4506,4879,271775,154108,14853,11571,91243,326253,0,0,307174,0,0,7349,11730,558687,505541,305531,143027,319554,208123,101378,174920,24937,30072,2366,33401,84144,11067,34492,7321,11333,238874,43390,55173,100,3.3,0.5,43.9,24.9,52.7,49.7,0,1.2,12484,7560,3539,7907,5150,2509,4328,617,744,59,826
2012,21101201130100,GARRETT COUNTY SCHOOLS,24023,N,N,2400360,4077,58139,4962,1225,1291,1191,1255,26897,12249,1253,2826,10569,26280,0,0,25018,0,0,1046,216,59543,58006,31561,14838,33583,22063,10519,21468,3196,2361,528,2731,12652,2955,527,1010,0,0,0,0,100,8.5,2.1,46.3,21.1,45.2,43,0,1.8,14161,7741,3639,8237,5412,2580,5266,784,579,130,670
2012,21101301230100,HARFORD CO SCH,24025,548,12580,2400390,38224,562869,28187,3797,10229,6292,7869,259493,143436,19385,11859,84813,275189,0,0,260197,0,294,8651,6047,544760,488061,276573,136525,296826,190079,94765,175917,22403,21041,2134,30743,99596,15318,29514,13410,13775,293957,15343,16381,100,5,0.7,46.1,25.5,48.9,46.2,0.1,1.5,12758,7236,3572,7765,4973,2479,4602,586,550,56,804
2012,21101401330100,HOWARD COUNTY SCHOOLS,24027,548,12580,2400420,51555,889422,23875,2140,10672,4493,6570,282270,158803,12072,15251,96144,583277,0,0,570009,0,275,9076,3917,858194,767149,464975,180642,504862,342877,135756,247386,35731,39010,4260,53601,114784,14901,71887,3792,15366,420296,14206,26917,100,2.7,0.2,31.7,17.9,65.6,64.1,0,1,14747,9019,3504,9793,6651,2633,4798,693,757,83,1040
2012,21101501430100,KENT COUNTY SCHOOLS,24029,N,N,2400450,2162,31833,3375,493,617,795,1470,11771,4206,565,1483,5517,16687,0,0,16128,0,0,403,156,31977,31517,17699,6826,17874,11764,4798,12317,1484,1855,2746,2164,4068,1326,423,37,0,0,0,0,100,10.6,1.5,37,13.2,52.4,50.7,0,1.3,14543,8186,3157,8267,5441,2219,5697,686,858,1270,1001
2012,21101601530100,MONTGOMERY COUNTY SCHOOLS,24031,548,47900,2400480,146459,2854888,109485,20301,31700,27269,30215,759591,322005,45761,35211,356614,1985812,0,0,1945509,0,0,29575,10728,2646912,2180396,1375863,648602,1387437,909779,438953,743231,87942,164772,14111,151655,324751,49728,391146,36227,39143,966018,109098,75962,100,3.8,0.7,26.6,11.3,69.6,68.1,0,1,14873,9394,4429,9473,6212,2997,5075,600,1125,96,1035
2012,21101701630100,PRINCE GEORGES CO SCHS,24033,548,47900,2400510,123833,2065364,145794,37217,29999,41036,37542,1017616,493467,54840,37045,432264,901954,0,0,843172,0,0,27904,30878,1845509,1678126,980525,444497,973389,627105,280146,640315,81667,67223,14310,112288,364827,64422,98263,50646,18474,446544,98885,141157,100,7.1,1.8,49.3,23.9,43.7,40.8,0,1.4,13535,7918,3589,7860,5064,2262,5171,659,543,116,907
2012,21101801730100,QUEEN ANNES COUNTY SCHOOLS,24035,548,12580,2400540,7761,103463,5534,970,1673,894,1997,43748,20778,2120,3173,17677,54181,0,0,51882,0,0,1977,322,108299,88116,50684,22485,55155,36319,16590,30712,4417,4099,491,5334,16371,2249,16353,832,2998,23865,0,5362,100,5.3,0.9,42.3,20.1,52.4,50.1,0,1.9,11354,6531,2897,7107,4680,2138,3957,569,528,63,687
2012,21101901830100,ST MARYS CO SCHS,24037,548,30500,2400600,17449,218360,15847,2223,4415,2961,6248,108864,61756,5177,6410,35521,93649,0,0,89494,0,40,3702,413,220955,208898,120063,54063,123004,81722,36001,78875,9438,13185,1226,13955,41071,7019,8776,1454,1827,54435,1355,4540,100,7.3,1,49.9,28.3,42.9,41,0,1.7,11956,6881,3098,7049,4683,2063,4520,541,756,70,800
